raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group,sum,sum_city,population_density
26,Мурманская область,Мурманская,26,0,217833,6,26,802,0.03
1151,Мурманская область,Печенгская,369,10,25186,4,379,802,0.47
1145,Ненецкий автономный округ,Нарьян-Марская,397,8,17621,4,405,405,1.0
909,Нижегородская область,Кстовская,318,6,94238,5,324,5943,0.05
12,Нижегородская область,"Нижний Новгород, Нижегородская",10,2,101500,5,12,5943,0.0
12,Нижегородская область,"Нижний Новгород, Нижегородская",12,0,101500,5,12,5943,0.0
87,Нижегородская область,"Нижний Новгород, Советская",86,1,128180,5,87,5943,0.01
1479,Нижегородская область,Арзамас округ,793,0,76055,5,793,5943,0.13
1745,Нижегородская область,"Нижний Новгород, Ленинская",544,7,102744,5,551,5943,0.09
98,Нижегородская область,Починковская,83,0,43428,4,83,5943,0.01
505,Нижегородская область,Вознесенская,365,8,11180,4,373,5943,0.06
1699,Нижегородская область,"Нижний Новгород, Автозаводская Северная",504,14,105598,5,518,5943,0.09
2296,Нижегородская область,Балахнинская,744,21,58601,5,765,5943,0.13
1709,Нижегородская область,"Дзержинск, Свердловская",550,17,88896,5,567,5943,0.1
965,Нижегородская область,Бор округ,375,6,94258,5,381,5943,0.06
1472,Нижегородская область,Городецкая,620,19,67192,5,639,5943,0.11
441,Нижегородская область,Семеновский округ,315,0,33013,4,315,5943,0.05
1080,Нижегородская область,Шахунья округ,519,4,27611,4,523,5943,0.09
158,Новгородская область,Любытинская,73,1,6893,4,74,1194,0.06
1625,Новгородская область,Новгородская,683,25,48183,4,708,1194,0.59
970,Новгородская область,Хвойнинская,403,9,10643,4,412,1194,0.35
396,Новосибирская область,Куйбышевская,151,9,68035,5,160,5000,0.03
1548,Новосибирская область,"Новосибирск, Калининская",420,10,147745,5,430,5000,0.09
244,Новосибирская область,Татарская,131,3,29076,4,134,5000,0.03
170,Новосибирская область,Болотнинская,100,17,21203,4,117,5000,0.02
1611,Новосибирская область,"Новосибирск, Дзержинская",397,8,119963,5,405,5000,0.08
2182,Новосибирская область,Тогучинская,1125,29,43194,4,1154,5000,0.23
680,Новосибирская область,Бердская городская,280,5,84743,5,285,5000,0.06
1129,Новосибирская область,Карасукская,434,13,34221,4,447,5000,0.09
2051,Новосибирская область,"Новосибирск, Советская",888,10,100073,5,898,5000,0.18
154,Новосибирская область,Барабинская,108,4,32887,4,112,5000,0.02
572,Новосибирская область,Купинская,238,4,22089,4,242,5000,0.05
2459,Новосибирская область,"Новосибирск, Ленинская",605,11,229231,6,616,5000,0.12
930,Омская область,Калачинская,432,18,32879,4,450,2557,0.18
1701,Омская область,"Омск, Центральная",554,10,226365,6,564,2557,0.22
206,Омская область,ТИК по Омскому району,58,5,83534,5,63,2557,0.02
172,Омская область,Одесская,111,2,11706,4,113,2557,0.04
1909,Омская область,ТИК по Ленинскому административному округу г. Омска Омской области,663,24,148849,5,687,2557,0.27
86,Омская область,ТИК по Полтавскому району,53,1,15582,4,54,2557,0.02
351,Омская область,Любинская,183,10,28416,4,193,2557,0.08
158,Омская область,Саргатская,87,7,13309,4,94,2557,0.04
255,Омская область,ТИК по Знаменскому району,154,1,8830,4,155,2557,0.06
284,Омская область,ТИК по Называевскому району,134,1,16703,4,135,2557,0.05
101,Омская область,ТИК по Тюкалинскому району,49,0,18152,4,49,2557,0.02
97,Оренбургская область,Новосергиевская,63,0,26133,4,63,5105,0.01
2221,Оренбургская область,Оренбургская,1673,60,86590,5,1733,5105,0.34
1246,Оренбургская область,Соль-Илецкая городская,364,13,37892,4,377,5105,0.07
110,Оренбургская область,Абдулинская городская,69,1,23191,4,70,5105,0.01
99,Оренбургская область,Бузулукская,61,0,24560,4,61,5105,0.01
291,Оренбургская область,Матвеевская,168,3,9398,4,171,5105,0.03
683,Оренбургская область,Пономаревская,340,16,11099,4,356,5105,0.07
1979,Оренбургская область,Акбулакская,765,39,17942,4,804,5105,0.16
1740,Оренбургская область,Кувандыкская городская,691,15,33840,4,706,5105,0.14
1662,Оренбургская область,"Орск, Ленинская",588,27,49741,4,615,5105,0.12
338,Оренбургская область,Ясненская городская,142,7,15104,4,149,5105,0.03
517,Орловская область,Колпнянская,459,0,11017,4,459,1706,0.27
415,Орловская область,Мценская,311,7,15810,4,318,1706,0.19
2166,Орловская область,"Орел, Северная",741,30,54309,5,771,1706,0.45
198,Орловская область,Сосковская,157,1,4619,3,158,1706,0.09
1274,Пензенская область,Кузнецкая,1093,6,27033,4,1099,4642,0.24
1535,Пензенская область,Никольская,1251,10,40536,4,1261,4642,0.27
403,Пензенская область,Пензенская,336,0,54842,5,336,4642,0.07
437,Пензенская область,Белинская,283,6,19665,4,289,4642,0.06
1421,Пензенская область,Каменская,594,16,155560,6,610,4642,0.13
1889,Пензенская область,"Пенза, Железнодорожная",769,12,86144,5,781,4642,0.17
326,Пензенская область,Тамалинская,259,7,11457,4,266,4642,0.06
384,Пермский край,Оханская,149,5,11774,4,154,4968,0.03
2081,Пермский край,"Пермь, Кировская",658,38,98235,5,696,4968,0.14
1165,Пермский край,Горнозаводская,415,23,18802,4,438,4968,0.09
191,Пермский край,Лысьвенская,91,10,58326,5,101,4968,0.02
2018,Пермский край,Чусовская,751,32,48892,4,783,4968,0.16
511,Пермский край,Октябрьская,278,13,308508,6,291,4968,0.06
2395,Пермский край,"Пермь, Свердловская № 1",729,34,92115,5,763,4968,0.15
1488,Пермский край,Березниковская,527,26,119683,5,553,4968,0.11
895,Пермский край,Косинская,343,11,5326,4,354,4968,0.07
1988,Пермский край,Нытвенская,690,41,34786,4,731,4968,0.15
180,Пермский край,Юсьвинская,102,2,13899,4,104,4968,0.02
33,Приморский край,"Владивосток, Фрунзенская",32,1,47501,4,33,2416,0.01
1788,Приморский край,Надеждинская,487,7,32924,4,494,2416,0.2
228,Приморский край,Уссурийская городская,185,0,145460,5,185,2416,0.08
2061,Приморский край,"Владивосток, Первореченская",564,20,103184,5,584,2416,0.24
143,Приморский край,Спасская,50,3,73151,5,53,2416,0.02
433,Приморский край,Анучинская,196,9,11362,4,205,2416,0.08
255,Приморский край,Кировская,207,3,226653,6,210,2416,0.09
1127,Приморский край,Находкинская городская,340,19,119052,5,359,2416,0.15
932,Приморский край,Пожарская,278,15,22017,4,293,2416,0.12
494,Псковская область,Великолукская городская,392,16,74216,5,408,1543,0.26
292,Псковская область,Новосокольническая,199,3,10733,4,202,1543,0.13
2068,Псковская область,Псковская,685,18,36215,4,703,1543,0.46
525,Псковская область,Себежская,223,7,14087,4,230,1543,0.15
2768,Республика Адыгея (Адыгея),Майкопская городская,1091,21,131966,5,1112,1112,1.0
3021,Республика Алтай,Горно-Алтайская городская,1008,17,43477,4,1025,1091,0.94
167,Республика Алтай,Усть-Коксинская,64,2,12288,4,66,1091,0.06
1244,Республика Башкортостан,Давлекановская,843,25,30080,4,868,14617,0.06
1575,Республика Башкортостан,"Уфа, Кировская",1167,7,126760,5,1174,14617,0.08
80,Республика Башкортостан,Чекмагушевская,77,0,22863,4,77,14617,0.01
88,Республика Башкортостан,Белокатайская,82,0,14197,4,82,14617,0.01
151,Республика Башкортостан,Бураевская,123,11,18143,4,134,14617,0.01
1050,Республика Башкортостан,Кушнаренковская,880,0,22376,4,880,14617,0.06
127,Республика Башкортостан,Салаватская,124,0,19553,4,124,14617,0.01
2392,Республика Башкортостан,Уфимская (4),1787,14,35945,4,1801,14617,0.12
1753,Республика Башкортостан,Иглинская,1326,5,47466,4,1331,14617,0.09
2408,Республика Башкортостан,"Уфа, Октябрьская",1915,7,172430,6,1922,14617,0.13
1138,Республика Башкортостан,Дюртюлинская,792,5,46788,4,797,14617,0.05
850,Республика Башкортостан,Краснокамская,675,9,75132,5,684,14617,0.05
413,Республика Башкортостан,Туймазинская,401,1,94691,5,402,14617,0.03
624,Республика Башкортостан,Абзелиловская,299,0,33937,4,299,14617,0.02
537,Республика Башкортостан,Зианчуринская,510,0,20738,4,510,14617,0.03
113,Республика Башкортостан,Куюргазинская,106,0,17627,4,106,14617,0.01
1972,Республика Башкортостан,Сибайская городская,1524,12,41421,4,1536,14617,0.11
271,Республика Башкортостан,Альшеевская,261,2,31109,4,263,14617,0.02
346,Республика Башкортостан,Бижбулякская,340,0,17771,4,340,14617,0.02
931,Республика Башкортостан,Ишимбайская,815,13,66784,5,828,14617,0.06
1554,Республика Башкортостан,Стерлитамакская городская,444,15,203037,6,459,14617,0.03
515,Республика Бурятия,Джидинская,303,11,17943,4,314,4190,0.07
1109,Республика Бурятия,Иволгинская,359,7,40484,4,366,4190,0.09
3154,Республика Бурятия,Кяхтинская,2670,52,26532,4,2722,4190,0.65
824,Республика Бурятия,Тарбагатайская,540,12,16087,4,552,4190,0.13
265,Республика Бурятия,"Улан-Удэ, Октябрьская",217,19,138837,5,236,4190,0.06
1070,Республика Дагестан,Кизилюртовская городская,1011,0,24992,4,1011,8164,0.12
1752,Республика Дагестан,"Махачкала, Советская",1393,0,91173,5,1393,8164,0.17
1851,Республика Дагестан,Дагогнинская городская,1628,0,22594,4,1628,8164,0.2
2433,Республика Дагестан,Карабудахкентская,2152,0,52072,5,2152,8164,0.26
451,Республика Дагестан,Сергокалинская,412,0,20570,4,412,8164,0.05
426,Республика Дагестан,Хивская,385,0,13710,4,385,8164,0.05
17,Республика Дагестан,Ботлихская,16,0,28596,4,16,8164,0.0
276,Республика Дагестан,Гунибская,182,0,16275,4,182,8164,0.02
496,Республика Дагестан,Курахская,487,0,10257,4,487,8164,0.06
271,Республика Дагестан,Рутульская,229,0,14946,4,229,8164,0.03
165,Республика Дагестан,Хунзахская,138,0,22494,4,138,8164,0.02
139,Республика Дагестан,Чародинская,131,0,8770,4,131,8164,0.02
1604,Республика Ингушетия,Назрановская,1365,3,58682,5,1368,1368,1.0
535,Республика Калмыкия,Сарпинская,182,7,8188,4,189,189,1.0
166,Республика Карелия,Кемская,63,5,12597,4,68,1110,0.06
2334,Республика Карелия,Петрозаводская городская №1,952,24,108274,5,976,1110,0.88
165,Республика Карелия,Пряжинская,65,1,12466,4,66,1110,0.06
2032,Республика Коми,Вуктыльская городская,775,35,10184,4,810,2010,0.4
90,Республика Коми,Прилузская,65,1,16382,4,66,2010,0.03
2392,Республика Коми,Сыктывкарская городская,925,21,148801,5,946,2010,0.47
538,Республика Коми,Усть-Куломская,185,3,21097,4,188,2010,0.09
772,Республика Крым,Бахчисарайская,416,15,72752,5,431,5169,0.08
2043,Республика Крым,Симферопольская - 19,555,16,48414,4,571,5169,0.11
3194,Республика Крым,Керченская городская,1910,61,106485,5,1971,5169,0.38
237,Республика Крым,Ленинская,147,1,245986,6,148,5169,0.03
2137,Республика Крым,Симферопольская - 20,1147,30,49772,4,1177,5169,0.23
1973,Республика Крым,Евпаторийская городская,733,22,87407,5,755,5169,0.15
150,Республика Крым,Сакская,115,1,61840,5,116,5169,0.02
1893,Республика Марий Эл,Волжская городская,745,17,257014,6,762,2533,0.3
2490,Республика Марий Эл,Йошкар-Олинская городская № 1,976,20,104003,5,996,2533,0.39
1303,Республика Марий Эл,Медведевская,601,11,57780,5,612,2533,0.24
295,Республика Марий Эл,Юринская,158,5,6169,4,163,2533,0.06
650,Республика Мордовия,Дубенская,537,0,19540,4,537,1798,0.3
340,Республика Мордовия,Ковылкинская,286,0,29402,4,286,1798,0.16
1625,Республика Мордовия,Октябрьская,730,11,308508,6,741,1798,0.41
322,Республика Мордовия,Рузаевская,217,17,47811,4,234,1798,0.13
941,Республика Саха (Якутия),Алданская,403,11,32959,4,414,1140,0.36
522,Республика Саха (Якутия),Горная,380,1,6927,4,381,1140,0.33
408,Республика Саха (Якутия),Намская,242,8,15754,4,250,1140,0.22
78,Республика Саха (Якутия),Сунтарская,56,0,15880,4,56,1140,0.05
48,Республика Саха (Якутия),Чурапчинская,39,0,14329,4,39,1140,0.03
278,Республика Северная Осетия - Алания,ТИК Алагирского района,235,2,28120,4,237,3200,0.07
2811,Республика Северная Осетия - Алания,ТИК Моздокского района,1575,41,58518,5,1616,3200,0.5
1505,Республика Северная Осетия - Алания,ТИК Пригородного района,1347,0,76509,5,1347,3200,0.42
1976,Республика Татарстан (Татарстан),"Казань, Приволжская",811,28,195525,6,839,13566,0.06
