index,raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group
22682,1124,Краснодарский край,"Сочи, Лазаревская",544,3,74134,5
22844,1454,Краснодарский край,Выселковская,1107,15,46381,4
23006,695,Краснодарский край,Новопокровская,621,4,32299,4
23168,1734,Краснодарский край,Усть-Лабинская,1238,22,78493,5
23330,1851,Краснодарский край,Курганинская,1357,38,68901,5
23492,508,Краснодарский край,Новокубанская,474,0,63316,5
23654,1268,Краснодарский край,Ейская городская,577,15,72697,5
23816,2976,Краснодарский край,Кущевская,1738,50,50525,5
23978,1398,Краснодарский край,Староминская,1210,18,30751,4
24140,2471,Красноярский край,Канская городская,843,33,65783,5
24302,1634,Красноярский край,"Красноярск, Свердловская",552,12,102730,5
24464,375,Красноярский край,Ачинская,123,9,12142,4
24626,1489,Красноярский край,Железногорская городская,674,10,149665,5
24788,1582,Красноярский край,"Красноярск, Центральная",724,26,60694,5
24950,55,Красноярский край,Идринская,36,0,8958,4
25112,1312,Красноярский край,Курагинская,410,17,34676,4
25274,431,Красноярский край,Назаровская,230,6,14304,4
25436,1092,Красноярский край,Шушенская,438,11,26034,4
25598,1652,Красноярский край,Богучанская,319,335,29818,4
25760,175,Красноярский край,Иланская,92,2,16608,4
25922,1446,Красноярский край,Норильская городская,637,21,109141,5
26084,354,Красноярский край,Таймырская Долгано-Ненецкая №2,247,1,3485,3
26246,607,Курганская область,Варгашинская,342,6,14167,4
26408,350,Курганская область,Кетовская,149,0,42472,4
26570,1842,Курганская область,"Курган, Западная",614,10,132571,5
26732,115,Курганская область,Мокроусовская,75,2,8612,4
26894,1023,Курганская область,Шадринская,681,10,20947,4
27056,550,Курганская область,Щучанская,278,7,16610,4
27219,281,Курская область,Золотухинская,145,4,16331,4
27381,554,Курская область,Курская -109,282,2,17559,4
27543,255,Курская область,Поныровская,187,0,8843,4
27705,123,Курская область,Глушковская,110,0,16773,4
27868,1634,Курская область,"Курск, Сеймская",619,12,103288,5
28030,141,Курская область,Пристенская,100,3,11560,4
28192,264,Курская область,Черемисиновская,174,2,7504,4
28354,2405,Ленинградская область,Всеволожская,1148,31,315637,6
28516,2245,Ленинградская область,Кировская,852,31,226653,6
28678,815,Ленинградская область,Гатчинская 112,478,8,104308,5
28840,1481,Ленинградская область,Лужская,1150,28,59827,5
29002,1857,Ленинградская область,Гатчинская 113,547,12,58466,5
29164,467,Ленинградская область,Тихвинская,254,12,56274,5
29326,1275,Липецкая область,Елецкая,963,11,21693,4
29488,239,Липецкая область,Лев-Толстовская,150,3,12155,4
29650,357,Липецкая область,Становлянская,290,9,13488,4
29812,264,Липецкая область,Долгоруковская,176,1,13899,4
29974,2205,Липецкая область,"Липецк, Октябрьская №1",732,30,99293,5
30136,901,Липецкая область,Хлевенская,795,0,15658,4
30298,2162,Московская область,Балашихинская городская,1816,51,372068,6
30460,1328,Московская область,Мытищинская городская,513,10,183098,6
30622,458,Московская область,Дмитровcкая городская,208,0,129334,5
30784,2352,Московская область,Лобненская городская,571,32,72930,5
30946,3119,Московская область,Химкинская городская,700,14,190646,6
31108,932,Московская область,Егорьевская городская,565,12,76862,5
31270,1074,Московская область,Луховицкая городская,488,20,48535,4
31432,1304,Московская область,Клинская городская,482,10,102568,5
31594,1714,Московская область,Красногорская городская,877,13,194268,6
31756,1093,Московская область,Шаховская городская,483,18,18851,4
31918,1339,Московская область,Люберецкая городская,820,14,253893,6
32080,2689,Московская область,Раменская городская,1446,22,81631,5
32242,705,Московская область,Можайская городская,342,15,55280,5
32404,2322,Московская область,Одинцовская городская,757,34,147882,5
32566,1044,Московская область,Рузская городская,374,15,52134,5
32728,1457,Московская область,Павлово-Посадская городская,966,6,63270,5
32890,1096,Московская область,Электростальская городская,419,17,113288,5
33052,1833,Московская область,Ленинская городская,396,19,145166,5
33214,1787,Московская область,Подольская городская,681,22,265305,6
33376,1987,Московская область,Пушкинская городская,1008,8,165042,6
33538,1362,Московская область,Сергиево-Посадская городская,486,9,186649,6
33700,1391,Московская область,Протвинская городская,598,50,28144,4
33862,1608,Московская область,Ступинская городская,956,33,86407,5
34024,1235,Московская область,Богородская городская,663,6,169141,6
34186,2268,Московская область,Фрязинская городская,946,28,46717,4
34348,918,Московская область,Электростальская городская (округ 127),356,23,6338,4
34511,1210,Мурманская область,Мончегорская,384,13,33968,4
34673,26,Мурманская область,Мурманская,26,0,217833,6
34835,1151,Мурманская область,Печенгская,369,10,25186,4
34997,1145,Ненецкий автономный округ,Нарьян-Марская,397,8,17621,4
35160,909,Нижегородская область,Кстовская,318,6,94238,5
35322,12,Нижегородская область,"Нижний Новгород, Нижегородская",10,2,101500,5
35484,12,Нижегородская область,"Нижний Новгород, Нижегородская",12,0,101500,5
35646,87,Нижегородская область,"Нижний Новгород, Советская",86,1,128180,5
35808,1479,Нижегородская область,Арзамас округ,793,0,76055,5
35971,1745,Нижегородская область,"Нижний Новгород, Ленинская",544,7,102744,5
36133,98,Нижегородская область,Починковская,83,0,43428,4
36295,505,Нижегородская область,Вознесенская,365,8,11180,4
36458,1699,Нижегородская область,"Нижний Новгород, Автозаводская Северная",504,14,105598,5
36620,2296,Нижегородская область,Балахнинская,744,21,58601,5
36782,1709,Нижегородская область,"Дзержинск, Свердловская",550,17,88896,5
36945,965,Нижегородская область,Бор округ,375,6,94258,5
37107,1472,Нижегородская область,Городецкая,620,19,67192,5
37270,441,Нижегородская область,Семеновский округ,315,0,33013,4
37432,1080,Нижегородская область,Шахунья округ,519,4,27611,4
