index,raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group,Группа
43326,1101,Оренбургская область,"Орск, Советская",388,22,54192,5,1
23511,1148,Краснодарский край,Новокубанская,1025,19,63316,5,1
74630,969,Смоленская область,Гагаринская,280,7,141244,5,1
33324,1357,Московская область,Королевская городская,387,12,176718,6,1
80106,314,Тульская область,Щекинская,254,1,77984,5,1
13336,813,Ивановская область,Ивановская-92,319,2,8703,4,1
66652,809,Ростовская область,Зимовниковская,298,6,22967,4,1
41160,341,Омская область,Саргатская,172,5,13309,4,1
77784,82,Тверская область,Конаковская,45,8,67947,5,1
32638,1518,Московская область,Орехово-Зуевская городская,713,14,105577,5,1
55771,25,Республика Дагестан,Чародинская,25,0,8770,4,1
86662,1236,Челябинская область,Южноуральская городская,603,18,27985,4,1
51963,353,Республика Башкортостан,Бурзянская,200,8,12005,4,1
51587,2312,Республика Башкортостан,Нефтекамская городская,1196,48,104202,5,1
38563,425,Новосибирская область,Болотнинская,261,2,21203,4,1
34161,2641,Московская область,Пушкинская городская (округ 127),882,45,55667,5,1
5004,244,Белгородская область,Красногвардейская,192,3,155017,6,1
16496,530,Калужская область,Жуковская,296,2,65303,5,1
7839,2081,Волгоградская область,"Волгоград, Красноармейская",1340,16,116356,5,1
3810,1364,Астраханская область,Володарская,569,16,85677,5,1
39014,176,Новосибирская область,Баганская,95,5,11443,4,1
74283,2072,Свердловская область,Краснотурьинская городская,1127,30,44478,4,1
49489,155,Республика Алтай,Онгудайская,80,14,11323,4,1
54600,1966,Республика Дагестан,"Махачкала, Ленинская",1628,0,92659,5,1
41767,76,Оренбургская область,Курманаевская,56,1,13571,4,1
37368,466,Нижегородская область,Уренская,293,5,20656,4,1
26446,1410,Курганская область,"Курган, Восточная",407,9,126749,5,1
35081,704,Нижегородская область,Гагинская,335,2,8478,4,1
38239,1385,Новосибирская область,"Новосибирск, Калининская",418,9,147745,5,1
56114,1876,Республика Калмыкия,Элистинская,814,47,84203,5,1
30851,1597,Московская область,Химкинская городская,487,40,190646,6,1
47744,323,Приморский край,Михайловская,116,13,59591,5,1
6650,2434,Владимирская область,Гусь-Хрустальная городская,884,22,50924,5,1
42814,268,Оренбургская область,Северная,194,4,17754,4,1
77144,386,Тамбовская область,Инжавинская,252,20,16323,4,1
79872,952,Тульская область,Суворовская,510,5,25052,4,1
20714,121,Костромская область,Кадыйская,64,0,6381,4,1
66979,474,Рязанская область,Cacовская,294,2,12908,4,1
53800,1366,Республика Бурятия,"Улан-Удэ, Октябрьская",528,19,138837,5,1
84431,1355,Хабаровский край,Комсомольская городская,422,15,178774,6,1
84925,1497,Ханты-Мансийский автономный округ - Югра,Урайская городская,750,43,27997,4,1
74784,174,Смоленская область,Руднянская,95,4,29099,4,1
79921,2032,Тульская область,"Тула, Привокзальная",771,23,66355,5,1
76040,1278,Ставропольский край,Железноводская городская,1028,20,37849,4,1
48369,486,Приморский край,Ольгинская,244,9,7769,4,1
36668,1680,Нижегородская область,Володарская,525,21,85677,5,1
4316,2018,Белгородская область,Белгородская районная,1421,14,128195,5,1
52051,542,Республика Башкортостан,Зилаирская,499,5,11140,4,1
69735,2096,Самарская область,"Самара, Советская",585,5,126742,5,1
20532,411,Кировская область,Уржумская,180,3,18613,4,1
54175,1176,Республика Дагестан,Ногайская,612,26,23290,4,1
81900,2107,Удмуртская Республика,Завьяловская 33,905,20,39888,4,1
65833,475,Ростовская область,Каменская,218,6,155560,6,1
22401,396,Краснодарский край,Туапсинская районная,295,9,45160,4,1
3778,1003,Астраханская область,Володарская,476,25,85677,5,1
11251,379,Воронежская область,Калачеевская,180,44,39204,4,1
23162,210,Краснодарский край,Усть-Лабинская,208,0,78493,5,1
82687,1500,Удмуртская Республика,Можгинская городская,698,14,35139,4,1
34446,214,Мурманская область,Ковдорская,85,2,14854,4,1
41875,1928,Оренбургская область,"Оренбург, Ленинская",751,18,154668,6,1
80481,1132,Тульская область,"Тула, Пролетарская",563,15,115072,5,1
2067,161,Амурская область,Мазановского района,102,10,9043,4,1
88776,251,Чувашская Республика - Чувашия,Алатырская,218,0,11892,4,1
50775,2035,Республика Башкортостан,"Уфа, Ленинская",1385,38,63981,5,1
82874,1697,Ульяновская область,Димитровградская городская,629,14,92930,5,1
51228,277,Республика Башкортостан,Учалинская,257,1,55021,5,1
2939,1992,Архангельская область,Северодвинская городская № 2,979,20,70490,5,1
45355,882,Пермский край,Осинская,328,11,38113,4,1
63470,780,Республика Татарстан (Татарстан),Ютазинская,738,8,16253,4,1
68001,961,Самарская область,Большеглушицкая,748,37,12556,4,1
29565,1695,Липецкая область,"Липецк, Советская",658,19,136444,5,1
79902,788,Тульская область,Тепло-Огаревская,451,11,9754,4,1
65287,1525,Ростовская область,Таганрогская городская (восточная),514,9,103514,5,1
32172,1832,Московская область,Раменская городская № 2,943,10,110009,5,1
44623,75,Пензенская область,Сосновоборская,66,0,12169,4,1
65278,1813,Ростовская область,Таганрогская городская (восточная),593,8,103514,5,1
13540,282,Иркутская область,Баяндаевская,173,5,9069,4,1
45032,272,Пензенская область,Пачелмская,236,1,11161,4,1
21631,2570,Краснодарский край,"Краснодар, Прикубанская",883,9,197380,6,1
55045,72,Республика Дагестан,Гергебильская,63,0,13330,4,1
71675,45,Сахалинская область,Корсаковская,34,0,35325,4,1
50044,126,Республика Башкортостан,Чекмагушевская,119,0,22863,4,1
48894,787,Псковская область,Плюсская,310,10,6823,4,1
46566,1276,Пермский край,Верещагинская,463,37,30790,4,1
74650,670,Смоленская область,Гагаринская,199,5,141244,5,1
18295,1790,Кемеровская область - Кузбасс,Киселевская городская,1665,0,70147,5,1
20129,2610,Кировская область,"Киров, Ленинская 1",1042,20,88125,5,1
61449,304,Республика Татарстан (Татарстан),Апастовская,298,0,15087,4,1
79798,219,Тульская область,Одоевская,179,2,8914,4,1
15589,2054,Кабардино-Балкарская Республика,Нальчикская городская,1716,0,167909,6,1
36387,1236,Нижегородская область,Кулебаки округ,621,13,37658,4,1
87757,1623,Чеченская Республика,Грозненская,1490,2,43414,4,1
11721,1444,Еврейская автономная область,Ленинская,1107,18,245986,6,1
55403,150,Республика Дагестан,Рутульская,140,0,14946,4,1
26510,1557,Курганская область,"Курган, Западная",539,18,132571,5,1
40773,85,Омская область,ТИК по Москаленскому району,66,0,20697,4,1
62781,218,Республика Татарстан (Татарстан),Мензелинская,213,0,21158,4,1
18435,1493,Кемеровская область - Кузбасс,Мысковская городская,1149,42,32934,4,1
55676,156,Республика Дагестан,Цумадинская,124,0,15650,4,1
76287,1698,Ставропольский край,Пятигорская городская,1380,5,131941,5,1
52120,246,Республика Башкортостан,Кугарчинская,218,3,23233,4,1
4090,1175,Астраханская область,Черноярская,650,10,13543,4,1
33684,906,Московская область,Коломенская городская № 2,284,27,27552,4,1
11429,510,Воронежская область,Павловская,429,0,205149,6,1
48059,1236,Приморский край,Дальнереченская городская,491,35,21820,4,1
29100,1066,Ленинградская область,Подпорожская,431,22,24144,4,1
20498,268,Кировская область,Унинская,169,6,6569,4,1
