index,raw_voters,reg,tik,valid_ballots,invalid_ballots,population,population_group
1005,1400,Алтайский край,"Бийск, Восточная",398,14,77682,5
48607,1091,Псковская область,Великолукская городская,445,8,74216,5
78268,2293,Тверская область,Калининская-180,667,8,21674,4
23363,1210,Краснодарский край,Курганинская,872,0,68901,5
56758,1758,Республика Коми,Интинская городская,556,14,23604,4
54562,2057,Республика Дагестан,"Махачкала, Ленинская",1575,0,92659,5
85500,94,Челябинская область,Троицкая,74,0,38329,4
57927,1912,Республика Крым,"Симферополь, Киевская",972,23,122742,5
52447,226,Республика Башкортостан,Хайбуллинская,199,2,22715,4
57795,905,Республика Крым,Красногвардейская,680,3,155017,6
54543,834,Республика Дагестан,Магарамкентская,777,0,39555,4
60625,1097,Республика Северная Осетия - Алания,ТИК Ардонского района,895,0,23506,4
67931,1841,Рязанская область,Старожиловская,875,10,12296,4
36669,1612,Нижегородская область,Володарская,468,15,85677,5
86780,624,Челябинская область,Варненская,411,9,19186,4
1194,390,Алтайский край,Кытмановская,202,5,9962,4
81616,67,Тюменская область,Ялуторовская,64,0,11539,4
81559,1951,Тюменская область,"Тюмень, Калининская",936,9,160701,6
86842,118,Челябинская область,Верхнеуральская,94,0,24800,4
85818,1773,Челябинская область,"Челябинск, Центральная",760,13,81355,5
82779,406,Удмуртская Республика,Сюмсинская,227,6,10136,4
61510,446,Республика Татарстан (Татарстан),Арская,415,4,39122,4
78758,150,Томская область,Верхнекетская,88,2,12029,4
12962,1328,Ивановская область,Лежневская,583,18,14407,4
87445,730,Челябинская область,Кусинская,445,11,20010,4
10234,2076,Воронежская область,Cемилукская,727,27,50741,5
58132,1465,Республика Крым,Джанкойская городская,608,39,32708,4
20516,235,Кировская область,Уржумская,142,0,18613,4
41167,57,Омская область,Саргатская,42,0,13309,4
40826,903,Омская область,ТИК по Полтавскому району,344,18,15582,4
10035,1507,Воронежская область,"Воронеж, Центральная",559,11,85901,5
22049,2894,Краснодарский край,Геленджикская,987,5,91228,5
30065,1210,Липецкая область,Тербунская,541,15,16739,4
19416,217,Кемеровская область - Кузбасс,Таштагольская,215,0,35395,4
29435,575,Липецкая область,Лебедянская,297,8,32592,4
94045,1405,город Москва,район Ясенево,427,14,82964,5
57884,1365,Республика Крым,Нижнегорская,594,21,37269,4
38650,1377,Новосибирская область,Мошковская,500,26,33185,4
27371,1007,Курская область,"Курск, Центральная №2",482,17,93024,5
34312,259,Московская область,Щелковская городская,140,3,155737,6
34818,1128,Мурманская область,Оленегорская,1113,15,20346,4
90291,1460,Ярославская область,"Рыбинск, Пролетарская",420,4,70228,5
36704,889,Нижегородская область,"Дзержинск, Калининская",211,4,87260,5
79426,1579,Томская область,Томская (182),562,20,60857,5
34068,1344,Московская область,Богородская городская,531,6,169141,6
43977,365,Орловская область,Орловская,212,8,93344,5
93777,1584,город Москва,район Коньково,485,12,71593,5
79335,2363,Томская область,"Томск, Советская",880,19,79134,5
91677,1658,город Москва,район Котловка,523,12,27576,4
73858,285,Свердловская область,Красноуфимская,176,5,20681,4
